"id","name","gender","type","party","screen_name"
1460,"Robert B. Aderholt","M","rep","Republican","RobertAderholt"
1695,"Lamar Alexander","M","sen","Republican","senatorlamaralexander"
2029,"Justin Amash","M","rep","Republican","repjustinamash"
2090,"Mark E. Amodei","M","rep","Republican","MarkAmodeiNV2"
2201,"Alma S. Adams","F","rep","Democrat","CongresswomanAdams"
2229,"Pete Aguilar","M","rep","Democrat","reppeteaguilar"
2239,"Rick W. Allen","M","rep","Republican","CongressmanRickAllen"
2244,"Ralph Lee Abraham","M","rep","Republican","CongressmanRalphAbraham"
NA,"Jodey C. Arrington","M","rep","Republican","JodeyArrington"
62,"Joe Barton","M","rep","Republican","RepJoeBarton"
91,"Sanford D. Bishop, Jr.","M","rep","Democrat","sanfordbishop"
1464,"Roy Blunt","M","sen","Republican","SenatorBlunt"
1468,"Kevin Brady","M","rep","Republican","kevinbrady"
153,"Richard Burr","M","sen","Republican","SenatorRichardBurr"
1469,"Robert A. Brady","M","rep","Democrat","RepRobertBrady"
1558,"Tammy Baldwin","F","sen","Democrat","senatortammybaldwin"
1687,"John Boozman","M","sen","Republican","JohnBoozman"
1748,"Marsha Blackburn","F","rep","Republican","marshablackburn"
1723,"Madeleine Z. Bordallo","F","rep","Democrat","madeleine.bordallo"
1751,"Michael C. Burgess","M","rep","Republican","michaelcburgess"
1753,"Rob Bishop","M","rep","Republican","RepRobBishop"
1761,"G. K. Butterfield","M","rep","Democrat","congressmangkbutterfield"
1838,"Gus M. Bilirakis","M","rep","Republican","GusBilirakis"
1840,"Vern Buchanan","M","rep","Republican","CongressmanBuchanan"
1881,"John Barrasso","M","sen","Republican","johnbarrasso"
1965,"Michael F. Bennet","M","sen","Democrat","senbennetco"
2054,"Lou Barletta","M","rep","Republican","CongressmanLouBarletta"
1996,"Karen Bass","F","rep","Democrat","RepKarenBass"
2063,"Diane Black","F","rep","Republican","DianeBlackTN06"
1987,"Mo Brooks","M","rep","Republican","RepMoBrooks"
2018,"Larry Bucshon","M","rep","Republican","RepLarryBucshon"
2076,"Richard Blumenthal","M","sen","Democrat","SenBlumenthal"
2092,"Suzanne Bonamici","F","rep","Democrat","congresswomanbonamici"
2153,"Joyce Beatty","F","rep","Democrat","RepJoyceBeatty"
2131,"Andy Barr","M","rep","Republican","RepAndyBarr"
2155,"Jim Bridenstine","M","rep","Republican","CongressmanJimBridenstine"
2129,"Susan W. Brooks","F","rep","Republican","congresswomansusanwbrooks"
2106,"Julia Brownley","F","rep","Democrat","RepJuliaBrownley"
2127,"Cheri Bustos","F","rep","Democrat","RepCheri"
2102,"Ami Bera","M","rep","Democrat","RepAmiBera"
2197,"Bradley Byrne","M","rep","Republican","RepByrne"
2203,"Dave Brat","M","rep","Republican","RepDaveBrat"
2270,"Brian Babin","M","rep","Republican","RepBrianBabin"
2272,"Donald S. Beyer, Jr.","M","rep","Democrat","repdonbeyer"
2249,"Mike Bishop","M","rep","Republican","RepMikeBishop"
2241,"Rod Blum","M","rep","Republican","congressmanrodblum"
2243,"Mike Bost","M","rep","Republican","RepBost"
2267,"Brendan F. Boyle","M","rep","Democrat","CongressmanBoyle"
2233,"Ken Buck","M","rep","Republican","repkenbuck"
NA,"Don Bacon","M","rep","Republican","RepDonBacon"
NA,"Jim Banks","M","rep","Republican","RepJimBanks"
NA,"Nanette Diaz Barragán","F","rep","Democrat","CongresswomanBarragan"
NA,"Jack Bergman","M","rep","Republican","RepJackBergman"
NA,"Andy Biggs","M","rep","Republican","RepAndyBiggs"
NA,"Lisa Blunt Rochester","F","rep","Democrat","Rep.BluntRochester"
NA,"Ted Budd","M","rep","Republican","RepTedBudd"
165,"Ken Calvert","M","rep","Republican","70063393423"
172,"Maria Cantwell","F","sen","Democrat","senatorcantwell"
174,"Benjamin L. Cardin","M","sen","Democrat","senatorbencardin"
179,"Thomas R. Carper","M","sen","Democrat","tomcarper"
186,"Steve Chabot","M","rep","Republican","RepSteveChabot"
208,"James E. Clyburn","M","rep","Democrat","jameseclyburn"
229,"John Conyers, Jr.","M","rep","Democrat","CongressmanConyers"
231,"Jim Cooper","M","rep","Democrat","JimCooper"
250,"Mike Crapo","M","sen","Republican","mikecrapo"
256,"Elijah E. Cummings","M","rep","Democrat","elijahcummings"
1541,"Susan M. Collins","F","sen","Republican","susancollins"
1564,"Michael E. Capuano","M","rep","Democrat","RepMichaelCapuano"
1604,"Joseph Crowley","M","rep","Democrat","repjoecrowley"
1676,"Shelley Moore Capito","F","sen","Republican","senshelley"
1670,"John Abney Culberson","M","rep","Republican","CongressmanCulberson"
1654,"Wm. Lacy Clay","M","rep","Democrat","109135405838588"
1752,"John R. Carter","M","rep","Republican","judgecarter"
1742,"Tom Cole","M","rep","Republican","TomColeOK04"
1692,"John Cornyn","M","sen","Republican","sen.johncornyn"
1774,"Jim Costa","M","rep","Democrat","RepJimCosta"
1790,"Emanuel Cleaver","M","rep","Democrat","emanuelcleaverii"
1805,"K. Michael Conaway","M","rep","Republican","mike.conaway"
1807,"Henry Cuellar","M","rep","Democrat","152569121550"
1839,"Kathy Castor","F","rep","Democrat","USRepKathyCastor"
1864,"Yvette D. Clarke","F","rep","Democrat","repyvettedclarke"
1878,"Steve Cohen","M","rep","Democrat","CongressmanSteveCohen"
1836,"Joe Courtney","M","rep","Democrat","joecourtney"
1828,"Robert P. Casey, Jr.","M","sen","Democrat","SenatorBobCasey"
1825,"Bob Corker","M","sen","Republican","bobcorker"
1889,"André Carson","M","rep","Democrat","CongressmanAndreCarson"
1956,"Jason Chaffetz","M","rep","Republican","CongressmanJasonChaffetz"
1912,"Mike Coffman","M","rep","Republican","repmikecoffman"
1959,"Gerald E. Connolly","M","rep","Democrat","CongressmanGerryConnolly"
1970,"Judy Chu","F","rep","Democrat","RepJudyChu"
2055,"David N. Cicilline","M","rep","Democrat","CongressmanDavidCicilline"
1989,"Eric A. ""Rick"" Crawford","M","rep","Republican","RepRickCrawford"
1984,"Christopher A. Coons","M","sen","Democrat","senatorchriscoons"
2159,"Matt Cartwright","M","rep","Democrat","CongressmanMattCartwright"
2163,"Joaquin Castro","M","rep","Democrat","326420614138023"
2151,"Chris Collins","M","rep","Republican","RepChrisCollins"
2121,"Doug Collins","M","rep","Republican","RepresentativeDougCollins"
2103,"Paul Cook","M","rep","Republican","RepPaulCook"
2098,"Tom Cotton","M","sen","Republican","SenatorTomCotton"
2144,"Kevin Cramer","M","rep","Republican","CongressmanKevinCramer"
2107,"Tony Cárdenas","M","rep","Democrat","repcardenas"
2175,"Ted Cruz","M","sen","Republican","SenatorTedCruz"
2196,"Katherine M. Clark","F","rep","Democrat","CongresswomanClark"
2236,"Earl L. ""Buddy"" Carter","M","rep","Republican","congressmanbuddycarter"
2273,"Barbara Comstock","F","rep","Republican","RepBarbaraComstock"
2266,"Ryan A. Costello","M","rep","Republican","CongressmanRyanCostello"
2235,"Carlos Curbelo","M","rep","Republican","repcurbelo"
NA,"James Comer","M","rep","Republican","congressmancomer"
NA,"Liz Cheney","F","rep","Republican","replizcheney"
NA,"Charlie Crist","M","rep","Democrat","RepCharlieCrist"
NA,"Salud O. Carbajal","M","rep","Democrat","repsaludcarbajal"
NA,"Catherine Cortez Masto","F","sen","Democrat","SenatorCortezMasto"
1477,"Danny K. Davis","M","rep","Democrat","CongressmanDKDavis"
279,"Peter A. DeFazio","M","rep","Democrat","RepPeterDeFazio"
1479,"Diana DeGette","F","rep","Democrat","DianaDeGette"
281,"Rosa L. DeLauro","F","rep","Democrat","CongresswomanRosaDeLauro"
303,"Lloyd Doggett","M","rep","Democrat","lloyddoggett"
316,"Michael F. Doyle","M","rep","Democrat","usrepmikedoyle"
322,"John J. Duncan, Jr.","M","rep","Republican","CongressmanDuncan"
326,"Richard J. Durbin","M","sen","Democrat","SenatorDurbin"
1641,"Susan A. Davis","F","rep","Democrat","RepSusanDavis"
1717,"Mario Diaz-Balart","M","rep","Republican","mdiazbalart"
1799,"Charles W. Dent","M","rep","Republican","CongressmanDent"
1850,"Joe Donnelly","M","sen","Democrat","senatordonnelly"
1976,"Theodore E. Deutch","M","rep","Democrat","CongressmanTedDeutch"
1995,"Jeff Denham","M","rep","Republican","RepJeffDenham"
2072,"Sean P. Duffy","M","rep","Republican","RepSeanDuffy"
2057,"Jeff Duncan","M","rep","Republican","RepJeffDuncan"
2062,"Scott DesJarlais","M","rep","Republican","ScottDesJarlaisTN04"
2096,"Suzan K. DelBene","F","rep","Democrat","RepDelBene"
2138,"Steve Daines","M","sen","Republican","SteveDainesMT"
2126,"Rodney Davis","M","rep","Republican","RepRodneyDavis"
2133,"John K. Delaney","M","rep","Democrat","congressmanjohndelaney"
2116,"Ron DeSantis","M","rep","Republican","RepDeSantis"
2123,"Tammy Duckworth","F","sen","Democrat","SenDuckworth"
2227,"Mark DeSaulnier","M","rep","Democrat","RepMarkDeSaulnier"
2251,"Debbie Dingell","F","rep","Democrat","RepDebbieDingell"
