"Source","Target"
"1001408503","102062058"
"1001408503","106836014"
"1001408503","1080956450"
"1001408503","108631068"
"1001408503","112729477"
"1001408503","1241258612"
"1001408503","1280712997"
"1001408503","129619037"
"1001408503","133385126"
"1001408503","1361634223"
"1001408503","14353202"
"1001408503","144851263"
"1001408503","145637907"
"1001408503","1460694914"
"1001408503","14803203"
"1001408503","1491033510"
"1001408503","16856263"
"1001408503","17154357"
"1001408503","185978373"
"1001408503","1923776676"
"1001408503","19834221"
"1001408503","19976630"
"1001408503","209487731"
"1001408503","216122857"
"1001408503","216704460"
"1001408503","22125489"
"1001408503","2279236381"
"1001408503","232585099"
"1001408503","234319913"
"1001408503","23625401"
"1001408503","240730776"
"1001408503","2421727896"
"1001408503","248600714"
"1001408503","250053977"
"1001408503","262846232"
"1001408503","273394685"
"1001408503","273935884"
"1001408503","274027851"
"1001408503","277298681"
"1001408503","292983306"
"1001408503","293439146"
"1001408503","298012429"
"1001408503","309556475"
"1001408503","325639807"
"1001408503","36974428"
"1001408503","42908377"
"1001408503","429703493"
"1001408503","432339268"
"1001408503","435969548"
"1001408503","44190387"
"1001408503","462125535"
"1001408503","463053348"
"1001408503","473863406"
"1001408503","47580702"
"1001408503","48673005"
"1001408503","51921301"
"1001408503","550500821"
"1001408503","557615146"
"1001408503","56517232"
"1001408503","569921322"
"1001408503","570337931"
"1001408503","576488993"
"1001408503","583864399"
"1001408503","603027496"
"1001408503","60854687"
"1001408503","61171890"
"1001408503","74422593"
"1001408503","79682960"
"1001408503","848298949"
"1001408503","87299315"
"1001408503","897197394"
"1001408503","904911446"
"1001408503","929921762"
"1001408503","988869438"
"1011441108","168619698"
"1011441108","388441309"
"1011441108","420162559"
"1011441108","518750123"
"102062058","1001408503"
"102062058","106836014"
"102062058","1083447008"
"102062058","1090129658"
"102062058","112448318"
"102062058","112729477"
"102062058","112961086"
"102062058","1153568922"
"102062058","115523086"
"102062058","1156979755"
"102062058","1241258612"
"102062058","1241780816"
"102062058","1248168072"
"102062058","124878242"
"102062058","1280712997"
"102062058","1280976728"
"102062058","1288778468"
"102062058","133385126"
"102062058","1347823154"
"102062058","135911949"
"102062058","141540322"
"102062058","14157134"
"102062058","142425099"
"102062058","1430122837"
"102062058","1430147665"
"102062058","143058084"
"102062058","145637907"
"102062058","14803203"
"102062058","1484961512"
"102062058","1490144791"
"102062058","1491033510"
"102062058","155021529"
"102062058","1551675788"
"102062058","155663991"
"102062058","1560322266"
"102062058","157016898"
"102062058","159992511"
"102062058","161645556"
"102062058","162581795"
"102062058","1638003661"
"102062058","16736320"
"102062058","16856263"
"102062058","17154357"
"102062058","172022284"
"102062058","17442320"
"102062058","182776102"
"102062058","1852171094"
"102062058","185978373"
"102062058","186894716"
"102062058","189882080"
"102062058","1901792340"
"102062058","1903847018"
"102062058","1923776676"
"102062058","19291197"
"102062058","19393236"
"102062058","19644592"
"102062058","197424017"
"102062058","199370876"
"102062058","19976630"
"102062058","200782903"
"102062058","20526449"
"102062058","20668369"
"102062058","209487731"
"102062058","21098736"
"102062058","2150964398"
"102062058","216122857"
"102062058","2166828715"
"102062058","216704460"
"102062058","2194742244"
"102062058","22125489"
"102062058","222185996"
"102062058","225874946"
"102062058","2286056016"
"102062058","234319913"
"102062058","23625401"
"102062058","240730776"
"102062058","2421727896"
"102062058","2483651820"
"102062058","249341385"
"102062058","250053977"
"102062058","2511142274"
"102062058","2532446652"
"102062058","259084337"
"102062058","261238430"
"102062058","262846232"
"102062058","263724998"
"102062058","26550418"
"102062058","2729753323"
"102062058","273394685"
"102062058","273935884"
"102062058","274027851"
"102062058","27407990"
"102062058","27692596"
"102062058","277298681"
"102062058","279496023"
"102062058","287277272"
"102062058","2888393596"
"102062058","292983306"
"102062058","293439146"
"102062058","30080043"
"102062058","300874887"
"102062058","302515677"
"102062058","309556475"
"102062058","322660160"
"102062058","325439798"
"102062058","3302683475"
"102062058","337130991"
"102062058","33868112"
"102062058","3394288865"
"102062058","348389124"
"102062058","34929990"
"102062058","351516459"
"102062058","36974428"
"102062058","372373925"
"102062058","379254869"
"102062058","38210805"
"102062058","38407996"
"102062058","38673058"
"102062058","393971403"
"102062058","396837640"
"102062058","413863278"
"102062058","417939258"
"102062058","425746718"
"102062058","42908377"
"102062058","429703493"
"102062058","437814330"
"102062058","463053348"
"102062058","468255550"
"102062058","47580702"
"102062058","477137745"
"102062058","479552658"
"102062058","481133147"
"102062058","4866054021"
"102062058","490188296"
"102062058","493370166"
"102062058","49355689"
"102062058","49967368"
"102062058","506486097"
"102062058","51921301"
"102062058","54162252"
"102062058","557615146"
"102062058","56169454"
"102062058","56517232"
"102062058","570129312"
"102062058","570337931"
"102062058","570930472"
"102062058","57617093"
"102062058","576488993"
"102062058","579940825"
"102062058","580764928"
"102062058","581793576"
"102062058","59539047"
"102062058","602558734"
"102062058","603027496"
"102062058","60854687"
"102062058","618872960"
"102062058","63859619"
"102062058","6856082"
"102062058","6892312"
"102062058","703491164"
"102062058","707363406"
"102062058","715839908"
"102062058","718358442315030528"
"102062058","738373879"
"102062058","74422593"
"102062058","778857415"
"102062058","787505612"
"102062058","79682960"
"102062058","800121686"
"102062058","82898546"
"102062058","833526494"
"102062058","8344522"
"102062058","83814679"
"102062058","840478075"
"102062058","848298949"
"102062058","869966264"
"102062058","87299315"
"102062058","87695857"
"102062058","886305913"
"102062058","897197394"
"102062058","904911446"
"102062058","932754481"
"102062058","97009276"
"1021697672","1083447008"
"1021697672","1241780816"
"1021697672","1288778468"
"1021697672","1430122837"
"1021697672","161636184"
"1021697672","161645556"
"1021697672","19393236"
"1021697672","21098736"
"1021697672","221345472"
"1021697672","222185996"
"1021697672","239057534"
"1021697672","249614961"
"1021697672","250053977"
"1021697672","251578895"
"1021697672","254088373"
"1021697672","264132418"
"1021697672","2729753323"
"1021697672","273935884"
"1021697672","294771521"
"1021697672","298012429"
"1021697672","303823238"
"1021697672","325439798"
"1021697672","33868112"
"1021697672","3394288865"
"1021697672","407790463"
"1021697672","468302716"
"1021697672","574375192"
"1021697672","576163473"
"1021697672","57617093"
"1021697672","579940825"
"1021697672","603027496"
"1021697672","612398854"
"1021697672","802417429"
"1021697672","833526494"
"1021697672","835460455"
"1021697672","845616152"
"1021697672","848298949"
"1021697672","904911446"
"1021697672","929921762"
"1021697672","966162002"
"1021697672","972478976"
"1022158776","354890673"
"1022158776","89701184"
"1026125640","10464182"
"1026125640","116016090"
"1026125640","133385126"
"1026125640","1344217628"
"1026125640","1484961512"
"1026125640","15724284"
"1026125640","1852171094"
"1026125640","18764018"
"1026125640","22494525"
"1026125640","45515709"
"1026125640","463165503"
"1026125640","557615146"
"1026125640","560999988"
"1026125640","82350456"
"1029378475","119679411"
"1029378475","135911949"
"1029378475","163381424"
"1029378475","2286056016"
"1029378475","24964073"
"1029378475","250053977"
"1029378475","2511142274"
"1029378475","261238430"
"1029378475","2911552510"
"1029378475","3061686825"
"1029378475","322660160"
"1029378475","348389124"
"1029378475","3947926816"
"1029378475","432577766"
"1029378475","444777607"
"1029378475","463053348"
"1029378475","479552658"
"1029378475","557615146"
"1029378475","62037996"
"1029378475","781904175131131905"
"1029378475","833698147"
"1029378475","869966264"
"1029378475","87695857"
"103981878","127907048"
"103981878","130828533"
"103981878","137635095"
"103981878","156280168"
"103981878","15916215"
"103981878","17865542"
"103981878","179941278"
"103981878","19760151"
"103981878","20045134"
"103981878","24183388"
"103981878","281043412"
"103981878","29964546"
"103981878","33535466"
"103981878","33548291"
"103981878","38673476"
"103981878","394035319"
"103981878","458223867"
"103981878","80858333"
"103981878","91511905"
"104561488","130828533"
"104561488","15916215"
"104561488","168619698"
"104561488","17600950"
"104561488","20660144"
"104561488","23678902"
"104561488","27103822"
"104561488","58465961"
"104561488","715839908"
"104561488","822215679726100480"
"10464182","1026125640"
"10464182","1050733021"
"10464182","115523086"
"10464182","121171958"
"10464182","155021529"
"10464182","157547655"
"10464182","1665027356"
"10464182","2286056016"
"10464182","2418964867"
"10464182","249341385"
"10464182","38407996"
"10464182","4881093582"
"10464182","558645421"
"10464182","90845721"
"104768601","168607383"
"104768601","187880099"
"104768601","54844712"
"104768601","83544685"
"104768601","91977628"
"104876737","108631068"
"104876737","111554274"
"104876737","1147673598"
"104876737","115523086"
"104876737","1157543394"
"104876737","121171958"
"104876737","1241258612"
"104876737","126035531"
"104876737","129026706"
"104876737","14353202"
"104876737","145637907"
"104876737","14803203"
"104876737","16599993"
"104876737","169518869"
"104876737","199370876"
"104876737","2166828715"
"104876737","21895544"
"104876737","22627258"
"104876737","2291732472"
"104876737","2328672877"
"104876737","245384812"
"104876737","250131497"
"104876737","27692596"
"104876737","294028805"
"104876737","36974428"
"104876737","38407996"
"104876737","38630618"
"104876737","409655680"
"104876737","432339268"
"104876737","47636400"
"104876737","48053245"
"104876737","493370166"
"104876737","50589015"
"104876737","821495558"
"104876737","88643380"
"104876737","897197394"
"104876737","923574392"
"1050733021","10464182"
"1050733021","1055679372"
"1050733021","11061482"
"1050733021","112448318"
"1050733021","119679411"
"1050733021","119797535"
"1050733021","125391822"
"1050733021","1280712997"
"1050733021","145637907"
"1050733021","1484961512"
"1050733021","157547655"
"1050733021","186894716"
"1050733021","1909237502"
"1050733021","22642788"
"1050733021","252531143"
"1050733021","262846232"
"1050733021","273483098"
"1050733021","29711900"
"1050733021","378641626"
"1050733021","38673058"
"1050733021","42908377"
"1050733021","493370166"
"1050733021","781904175131131905"
"1050733021","89701184"
"1055679372","112729477"
"1055679372","115523086"
"1055679372","119797535"
"1055679372","121171958"
"1055679372","126035531"
"1055679372","135469780"
"1055679372","145554242"
"1055679372","1484961512"
"1055679372","153746572"
"1055679372","155021529"
"1055679372","161429071"
"1055679372","16296646"
"1055679372","16569045"
"1055679372","16736320"
"1055679372","2150964398"
"1055679372","249341385"
"1055679372","262073339"
"1055679372","279496023"
"1055679372","28451379"
"1055679372","2999887376"
"1055679372","30080043"
"1055679372","3121131934"
"1055679372","3151723815"
"1055679372","322660160"
"1055679372","3433283655"
"1055679372","38673058"
"1055679372","42908377"
"1055679372","45515709"
"1055679372","459107299"
"1055679372","472228303"
"1055679372","490188296"
"1055679372","53011768"
"1055679372","67700208"
"1055679372","745548168746524672"
"1055679372","800121686"
"106058150","156280168"
"106058150","2911552510"
"106058150","29964546"
"106058150","33548291"
"106058150","70368770"
"1063681428","112448318"
"1063681428","112961086"
"1063681428","1137637033"
"1063681428","135469780"
"1063681428","143515418"
"1063681428","145637907"
"1063681428","1469551106"
"1063681428","1471625299"
"1063681428","151036681"
"1063681428","2193197946"
"1063681428","250053977"
"1063681428","25073877"
"1063681428","260034489"
"1063681428","262846232"
"1063681428","305449685"
"1063681428","325439798"
"1063681428","3344316070"
"1063681428","38673058"
"1063681428","406842815"
"1063681428","426961422"
"1063681428","463053348"
"1063681428","486695763"
"1063681428","51379368"
"1063681428","574799108"
"1063681428","62777265"
"1063681428","718358442315030528"
"1063681428","73438957"
"1063681428","869966264"
"1063681428","908985410"
"1063681428","923574392"
"106836014","1001408503"
"106836014","102062058"
"106836014","1055679372"
"106836014","108631068"
"106836014","112448318"
"106836014","112729477"
"106836014","112961086"
"106836014","1137637033"
"106836014","1147673598"
"106836014","115523086"
"106836014","116016090"
"106836014","119056068"
"106836014","119679411"
"106836014","120856787"
"106836014","121171958"
"106836014","1241258612"
"106836014","1248168072"
"106836014","126592080"
"106836014","1280712997"
"106836014","129026706"
"106836014","133385126"
"106836014","135469780"
"106836014","135911949"
"106836014","145637907"
"106836014","1484961512"
"106836014","155021529"
"106836014","155663991"
"106836014","161429071"
"106836014","161636184"
"106836014","1638003661"
"106836014","16558943"
"106836014","16569045"
"106836014","16599993"
"106836014","166902496"
"106836014","16736320"
"106836014","17154357"
"106836014","17442320"
"106836014","1852171094"
"106836014","185978373"
"106836014","186894716"
"106836014","19393236"
"106836014","206617660"
"106836014","209487731"
"106836014","2150964398"
"106836014","216122857"
"106836014","216704460"
"106836014","226140727"
"106836014","22642788"
"106836014","2286056016"
"106836014","2328672877"
"106836014","2421727896"
"106836014","24490830"
"106836014","245384812"
"106836014","249341385"
"106836014","250053977"
"106836014","250131497"
"106836014","25073877"
"106836014","2511142274"
"106836014","257625577"
"106836014","261238430"
"106836014","262073339"
"106836014","262846232"
"106836014","26727655"
"106836014","27055744"
"106836014","2730305534"
"106836014","273935884"
"106836014","274027851"
"106836014","279496023"
"106836014","292983306"
"106836014","293439146"
"106836014","30080043"
"106836014","3030970439"
"106836014","303823238"
"106836014","309556475"
"106836014","3151723815"
"106836014","322660160"
"106836014","32864886"
"106836014","33868112"
"106836014","3388905376"
"106836014","348389124"
"106836014","351516459"
"106836014","361302333"
"106836014","36974428"
"106836014","377334403"
"106836014","38210805"
"106836014","38407996"
"106836014","38630618"
"106836014","38673058"
"106836014","406264129"
"106836014","413863278"
"106836014","418590070"
"106836014","425746718"
"106836014","42908377"
"106836014","432577766"
"106836014","4515151"
"106836014","45515709"
"106836014","463165503"
"106836014","47580702"
"106836014","4881093582"
"106836014","493370166"
"106836014","50589015"
"106836014","506486097"
"106836014","511970735"
"106836014","517903407"
"106836014","524155513"
"106836014","53011768"
"106836014","54162252"
"106836014","544566893"
"106836014","56517232"
"106836014","570337931"
"106836014","574375192"
"106836014","580764928"
"106836014","59539047"
"106836014","63859619"
"106836014","6856082"
"106836014","718358442315030528"
"106836014","74422593"
"106836014","760495395122319360"
"106836014","781904175131131905"
"106836014","79682960"
"106836014","800121686"
"106836014","838396926"
"106836014","869966264"
"106836014","87695857"
"106836014","904911446"
"106836014","923574392"
"106836014","960353869"
"106836014","967575096"
"1070929081","15724284"
"1070929081","181152679"
"1071214099","116016090"
"1071214099","118666101"
"1071214099","119679411"
"1071214099","121171958"
"1071214099","1241258612"
"1071214099","141540322"
"1071214099","145637907"
"1071214099","14803203"
"1071214099","151036681"
"1071214099","153746572"
"1071214099","159160507"
"1071214099","16736320"
"1071214099","17442320"
"1071214099","19815685"
"1071214099","20715956"
"1071214099","209487731"
"1071214099","2194697041"
"1071214099","22125489"
"1071214099","222185996"
"1071214099","250053977"
"1071214099","273935884"
"1071214099","292983306"
"1071214099","305520246"
"1071214099","31238317"
"1071214099","325439798"
"1071214099","329620391"
"1071214099","351516459"
"1071214099","36974428"
"1071214099","372373925"
"1071214099","38673058"
"1071214099","393971403"
"1071214099","407790463"
"1071214099","462125535"
"1071214099","473863406"
"1071214099","47636400"
"1071214099","538325306"
"1071214099","557702381"
"1071214099","56517232"
"1071214099","581793576"
"1071214099","595524255"
"1071214099","60854687"
"1071214099","612398854"
"1071214099","7459282"
"1071214099","91100556"
"1071214099","988869438"
"1080956450","1001408503"
"1080956450","119679411"
"1080956450","1204324428"
"1080956450","1248168072"
"1080956450","125391822"
"1080956450","1266693866"
"1080956450","135469780"
"1080956450","1532478763"
"1080956450","155021529"
"1080956450","157547655"
